Store_name,Category,Review,TV,Biztel,Address,Menu,Homepage,페이스북,인스타그램,블로그,웹사이트,Convenience,Desc,10,20,30,40,50,60,Female,Male
"강남목장육류,고기요리","육류,고기요리",3177,맛있는녀석들,02-562-7003,"서울 강남구 논현로86길 34
지번역삼동 725-25 역삼포커스빌딩지도보기","39,000원
업진살
39,000원
생등심
39,000원
생갈비살
33,000원
차돌박이
39,000원
양념갈비
더보기",http://www.gncorral.com/,,,,,"주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분","강남 우수한 한우 구이 전문집, 단체룸, 발렛 파킹, 회식, 접대, 코키지 프리, 맛집, 가족모임.",height: 26.0049%;,height: 69.4396%;,height: 88.4071%;,height: 94.6782%;,height: 52.1169%;,height: 54.0391%;,44%,56%
강남보물섬생선회,생선회,1177,,02-566-3563,"서울 강남구 테헤란로20길 11-1
지번역삼동 736-19지도보기","45,000원
모듬회(중)
85,000원
모듬회(대)
45,000원
광어회(중)
85,000원
광어회(대)
55,000원
고등어회(중)
더보기",,,,,,"단체석, 포장, 예약",강남역 역삼1동에 위치한 횟집,height: 23.5436%;,height: 72.7582%;,height: 87.9769%;,height: 89.988%;,height: 56.1369%;,height: 53.0156%;,43%,57%
고갯마루한식,한식,36,,,"서울 강남구 테헤란로28길 27
지번역삼동 725-12지도보기",메뉴판 이미지를 추가해주세요!,,,,,,,,height: 25%;,height: 83.616%;,height: 89.255%;,height: 73.2475%;,height: 46.6705%;,height: 52.947%;,48%,52%
"샐러디 역삼점다이어트,샐러드","다이어트,샐러드",971,,02-565-4066,"서울 강남구 논현로85길 13
지번역삼동 739 역삼동빌딩지도보기","5,400원
콥 샐러디
8,900원
아보카도연어 샐러디
5,700원
시저치킨 샐러디
6,900원
탄단지 샐러디
6,900원
리코타치즈 샐러디
메뉴판(원산지) 이미지로 보기
더보기",http://www.saladykorea.com/,,,,,"주차, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분","샐러드, 곡물빵, 샌드위치, 랩샐러드, 음료
건강한 패스트푸드 샐러디 역삼점입니다.",height: 48.8053%;,height: 93.5151%;,height: 73.9271%;,height: 51.5831%;,height: 39.1822%;,height: 36.84%;,59%,41%
마구로젠 역삼점,,209,좋은아침,02-573-2777,"서울 강남구 논현로86길 32
지번역삼동 725-24 삼우빌딩지도보기","80,000원
대표
골드메뉴
32,000원
대표
점심참치특정식
55,000원
스페셜
68,000원
로얄
100,000원
사파이어
메뉴판(원산지) 이미지로 보기
더보기",http://magurozen.modoo.at,,,,,"단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","마구로젠은 역삼점과 신사점직영으로만 운영 하고 있습니다.
300kg이상의 참다랑어를 경력20년이상의 오너쉐프가 최적의 상태로 고객님께 드립니다
고객님을 진심으로 사랑하고 가족같이 모시겠습니다.
드시다가 불편한점 있으시면 저에게 직접 연락주시면 바로 시정조치 하겠습니다.
01074881998대표이천",height: 16.4182%;,height: 64.1809%;,height: 86.6667%;,height: 91.0978%;,height: 52.7804%;,height: 53.0133%;,41%,59%
스타벅스 역삼역점카페,카페,105,,02-758-8314,"서울 강남구 테헤란로 145
지번역삼동 646-15 우신빌딩지도보기","4,100원
아메리카노(Tall)",http://www.istarbucks.co.kr/,http://www.facebook.com/starbuckskorea,http://www.instagram.com/starbuckskorea,http://www.istarbucksblog.co.kr/,,,,height: 42.5025%;,height: 91.1245%;,height: 80.185%;,height: 67.4955%;,height: 51.4795%;,height: 45.0645%;,56%,44%
에그드랍 역삼점샌드위치,샌드위치,321,,02-566-1611,"서울 강남구 논현로85길 52
지번역삼동 735-17 1층 101호지도보기","3,900원
대표
베이컨 더블 치즈 샌드위치
4,600원
대표
아보홀릭 샌드위치
2,900원
MR. EGG 샌드위치
3,600원
아메리칸 햄치즈 샌드위치
4,400원
데리야끼 바베큐 샌드위치
더보기",,,,,,"포장, 배달, 무선 인터넷","에그드랍은 현대인의 라이프스타일에 맞춘 프리미엄 Value를 제공한는 브랜드 입니다.
트렌드에 민감한 사람들이 찾아오는 아메리칸 캐주얼 다이닝 EGG DROP!",height: 60.7295%;,height: 95.169%;,height: 91.186%;,height: 83.2365%;,height: 52.771%;,height: 53.9465%;,62%,38%
생어거스틴 강남파이낸스점,,2185,,02-553-5101,"서울 강남구 테헤란로 152
지번역삼동 737 강남파이낸스센터지도보기","메뉴정보
메뉴정보안내
18,000원
왕새우 팟타이
15,000원
스파이시 타이 칠리 누들
14,000원
생어거스틴 누들
10,000원
꾸웨이띠오
37,000원
오리엔탈 왕새우튀김
메뉴판(원산지) 이미지로 보기
더보기",http://www.augustin.co.kr/,,,,,"주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","태국 현지 쉐프가 책임지는 바로 그 맛! 
팟타이, 똠얌꿍, 뿌팟봉커리등

태국을 대표하는 메뉴들을 경험해 보시기 바랍니다.",height: 25%;,height: 93.323%;,height: 84.586%;,height: 64.871%;,height: 44.004%;,height: 43.808%;,54%,46%
신동궁감자탕 역삼본점감자탕,감자탕,171,VJ특공대,02-555-3782,"서울 강남구 테헤란로10길 11
지번역삼동 823-41지도보기","28,000원
감자탕(소)
28,000원
뼈 숯불구이(소)
28,000원
뼈찜(소)
7,000원
뼈 해장국
7,000원
뚝배기 불고기",,,,,,주차,"육질이 우수한 최상의 목뼈와 국내산 사골로 장시간 우려낸 진한 국물 맛에, 신동궁만의 노하우인 부드러우면서 씹으면 쫄깃함을 맛볼 수 있는 우거지와 각종 신선한 야채들이 어우러진 맛의 신동궁 감자탕.
자체 개발한 뼈 숯불구이도 방송에 소개된 요리로 인기 메뉴.",height: 33.3284%;,height: 94.0613%;,height: 86.7684%;,height: 70.32%;,height: 54.568%;,height: 53.8476%;,48%,52%
노아베이커리 GFC점,,3561,,02-558-4100,"서울 강남구 테헤란로 152
지번역삼동 737 B1지도보기","2,900원
아메리카노",,,,,,,"지친 일상에서 벗어나 감성과 휴식을 선사하는
유러피안 라이프 스타일의 베이커리입니다.

노아베이커리 GFC점의 영업시간은 07:00 - 21:00입니다
(토요일은 09:00 - 19:00)

① 결제는 점포 현장 결제입니다.
② 정확한 전화번호 기재 부탁드려요.
③ 픽업시간 지정시 오전,오후 체크해주세요

* 당일취소는 불가합니다.
* 문구서비스는 최소 3일전 오프라인 서비스에서만 가능합니다
이용에 참고하시길 바랍니다.",height: 15.5127%;,height: 71.2353%;,height: 53.36%;,height: 33.3773%;,height: 11.068%;,height: 10.1953%;,60%,40%
가조쿠일식당,일식당,1341,,02-556-2177,"서울 강남구 테헤란로25길 6-7
지번역삼동 642-4 지하 1층지도보기","6,500원
가케우동
6,500원
붓가케우동
9,500원
사케동
13,000원
우나기동",,,,,,"단체석, 주차, 예약, 무선 인터넷","사누키우동 일본식 메밀소바 ,, 그리고 일본 가정식 전문점 입니다. 저녁시간대에는 참치 연어 사시미, 샐러드, 구이류, 튀김류, 볶음류등의 메뉴에 사케도 한잔 가능한 이자카야로 운영됩니다. 한양대에 있는 우동가조쿠 와 가조쿠식당 브랜드의 일본식 우동 메밀 그리고 가정식의 참맛을 항상 정직하게 서비스 하도록 하겠습니다.",height: 49.562%;,height: 95.288%;,height: 80.0505%;,height: 70.3405%;,height: 57.756%;,height: 54.212%;,51%,49%
베이징코야 역삼동점중식당,중식당,151,생생정보통,02-733-5292,"서울 강남구 논현로86길 20
지번역삼동 725-9 봉강빌딩 1층지도보기","69,000원
북경오리 1마리
30,000원
오리구이
65,000원
특송이 상어지느러미찜
20,000원
점심코스A 유산슬+탕수육+소고기피망볶음+자장면또는기스면
30,000원
정식류",,,,,,,중국식 북경오리 전문점 베이징코야의 강남 지점입니다. 본점은 수송동에 위치하고 있지요. 대표 메뉴 베이징코야는 2~3인이 식사로 배불리 먹기 좋은 양이며 중국 본토 식당과 마찬가지로 주방장이 직접 오리를 테이블 옆에서 썰어 주는 것이 특색입니다. 오리탕수육 등 오리를 재료로 한 다른 요리메뉴도 인기 있지요. 탕수육을 비롯한 일반적인 중식 요리도 준비되어 있어 함께 즐기는 손님들이 많다고 합니다.,height: 31.7085%;,height: 73.6475%;,height: 96.971%;,height: 87.383%;,height: 95.7125%;,height: 87.801%;,44%,56%
루프탑 클라우드,,777,,02-2050-6035,"서울 강남구 테헤란로25길 10
지번역삼동 642지도보기","270,000원
그레이 구스 SET
260,000원
돈 훌리오 SET
240,000원
봄베이 사파이어 SET
30,000원
성게알 파스타
30,000원
크랩 로제 파스타
메뉴판(원산지) 이미지로 보기
더보기",http://urbandelight.co.kr/rooftop-kloud/,,,,,"단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설","*평일,일요일 18:00 - 01:00
 음식 라스트오더 11:30, 음료 라스트오더 12:30
*금,토요일 18:00 - 02:00
 음식 라스트오더 12:30, 음료 라스트오더 01:30
*야외 창가 예약시 바틀만 주문 가능",height: 31.9338%;,height: 91.5338%;,height: 78.5511%;,height: 66.6671%;,height: 49.6764%;,height: 44.952%;,51%,49%
모터시티양식,양식,542,,02-2051-8877,"서울 강남구 테헤란로 142
지번역삼동 736-1지도보기","23,900원
JACKSON 5
23,900원
MANIMAL BBQ
24,900원
FOUR CHEESE HORSEMAN 23.9
17,900원
CHEESE PIZZA
19,800원
PEPPERONI
메뉴판(원산지) 이미지로 보기
더보기",http://www.instagram.com/motorcitykorea,http://www.facebook.com/motorcitykorea,,,http://manimaltribe.com/,"단체석, 주차, 포장, 남/녀 화장실 구분","모터시티는 팀 매니멀의 다섯 번째 레스토랑입니다.
모터시티의 아이디어는 팀 매니멀의 창업 멤버 중 한 명인 John Kim으로부터 나왔습니다.
친구들 사이에서 피자 홀릭 이라고 불리던 John은 2012년에 처음으로 디트로이트 스타일 피자를 먹어 본 후
다른 스타일 피자와는 비교가 불가할 정도로 획기적인 피자라고 생각하였고,
서울에 있는 가족들과 친구들에게 디트로이트 스타일 피자를 전파하고 싶다고 어린아이처럼 꿈꿔왔습니다.
그리하여 2016년, 팀 매니멀과 함께 그 꿈을 향해 황소처럼 돌진하고 있습니다.

디트로이트 스타일 피자는 미시간 주 디트로이트에서 처음으로 선보인 딥 디쉬 스타일 피자입니다.
카센터에서 사용되는 도구 중 하나인 블루 스틸 팬(Blue Steel Pan)으로 베이킹을 해 크리스피 한 피자입니다.
크러스트가 굉장히 맛있어서 많은 사람들에게 사랑을 받기 시작했습니다.",height: 25%;,height: 87.3505%;,height: 87.172%;,height: 72.329%;,height: 55.2015%;,height: 57.9135%;,53%,47%
송추가마골 인어반 강남점,,1045,,02-554-9290,"서울 강남구 테헤란로 134
지번역삼동 735-3 포스코타워 역삼 지하 1층지도보기","11,000원
대표
뚝배기갈비탕
39,000원
대표
가마골갈비
21,000원
한돈돼지구이
9,000원
순메밀냉면
40,000원
한우채끝등심
메뉴판(원산지) 이미지로 보기
더보기",http://www.gamagoll.com/,https://www.facebook.com/scgamagoll/,http://www.instagram.com/scgamagoll/,https://scgamagoll.blog.me/,,"단체석, 주차, 포장, 예약","프리미엄 한우, 양념갈비, 돼지구이, 갈비탕, 런치쌈밥정식 등을 깔끔하고 고급스런 분위기에서 냄새없이 편하게 즐길 수 있는 모던 캐쥬얼 갈비전문 레스토랑입니다. ",height: 25%;,height: 63.32%;,height: 83.392%;,height: 91.744%;,height: 82.8535%;,height: 95.3685%;,47%,53%
"스시산원 청초밥,롤","초밥,롤",175,,02-538-5550,"서울 강남구 논현로85길 52
지번역삼동 735-20 역삼푸르지오시티 2층 205-1호지도보기","50,000원
스시오마카세
50,000원
점심
80,000원
저녁",,,,,,"주차, 포장, 예약",스시오마카세 전문점,height: 27.2895%;,height: 89.5365%;,height: 90.038%;,height: 78.331%;,height: 64.314%;,height: 62.338%;,44%,56%
롱브레드 베이커리샌드위치,샌드위치,1541,,02-566-1253,"서울 강남구 테헤란로22길 15
지번역삼동 736-44 건축문화사옥지도보기","9,500원
대표
롱브레드 파니니
11,500원
대표
연어 아보카도 샐러드
8,500원
햄치즈 바질페스토 파니니
8,800원
클럽 샌드위치
8,500원
치킨 샌드위치
메뉴판(원산지) 이미지로 보기
더보기",https://www.instagram.com/longbread_bakery,,,,,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","다른 곳에서 맛 볼 수 없는 베이커리와 샌드위치.
앙버터, 치아버터, 깜빠뉴, 까눌레, 크로와상 대표 맛집.

샌드위치, 샐러드, 생과일주스, 빵 단체배달 언제든 문의주세요.
02-566-1253",height: 28.1933%;,height: 89.3884%;,height: 79.6529%;,height: 66.7196%;,height: 45.5489%;,height: 38.4031%;,59%,41%
"그릴640육류,고기요리","육류,고기요리",71,,02-554-0640,"서울 강남구 테헤란로16길 13
지번역삼동 735-25 동원빌딩 1층지도보기","16,000원
대표
통목살
38,000원
대표
한우 안심
16,000원
삼겹살
16,000원
오겹살
17,000원
항정살
메뉴판(원산지) 이미지로 보기
더보기",,,,,,,"숙성된 촤상급 한우 한돈을 전문 그릴러분이 구워주는
분위기 좋은 맛집",height: 25%;,height: 71.037%;,height: 89.744%;,height: 76.746%;,height: 56.393%;,height: 63.9675%;,49%,51%
"어육장해물,생선요리","해물,생선요리",2302,2TV생생정보,02-539-5354,"서울 강남구 테헤란로13길 12
지번역삼동 647지도보기","8,500원
명태조림
9,000원
돼지갈비조림
11,000원
매운갈비찜
15,000원
대하갈비찜
35,000원
가자미조림(중)
메뉴판(원산지) 이미지로 보기
더보기",,,,,,"단체석, 주차, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분",,height: 35.063%;,height: 80.5235%;,height: 85.249%;,height: 89.0065%;,height: 75.987%;,height: 84.41%;,47%,53%
삼다연돼지고기구이,돼지고기구이,94,,02-552-9283,"서울 강남구 논현로86길 28
지번역삼동 725-23지도보기","18,000원
오겹살
11,000원
숯불구이정식(점심)
8,000원
흑돼지 김치찌개
8,000원
흑돼지청국장",,,,,,"단체석, 주차, 발렛파킹, 포장, 예약, 남/녀 화장실 구분",제주흑돼지 전문점,height: 25%;,height: 70.851%;,height: 84.19%;,height: 91.7665%;,height: 64.396%;,height: 59.791%;,45%,55%
바비레드 강남양식,양식,"29,572",생방송오늘저녁,02-3452-1515,"서울 강남구 봉은사로6길 39
지번역삼동 618-18지도보기","20,000원
대표
바비스테이크
16,000원
대표
레드크림파스타
16,000원
레드갈비스튜
16,000원
레드토마토파스타
13,000원
레드갈릭밥스타
메뉴판(원산지) 이미지로 보기
더보기",http://www.facebook.com/mybobired,,http://www.instagram.com/bobired_,https://blog.naver.com/bobired_,,"단체석, 무선 인터넷, 남/녀 화장실 구분","매운 갈비 파스타의 원조! 한식과 이탈리안의 독특한 만남! 스파이시 퓨전 레스토랑 바비레드입니다.
BOBIRED is a unique Korean-Italian spicy fusion restaurant where the Original Spicy Rib Pasta was born.",height: 66.5437%;,height: 77.4853%;,height: 60.3437%;,height: 58.1787%;,height: 24.7707%;,height: 33.5617%;,52%,48%
"연안식당 역삼점해물,생선요리","해물,생선요리",612,,02-562-6092,"서울 강남구 논현로85길 13
지번역삼동 739 근영빌딩 2층지도보기","메뉴정보
메뉴정보안내
변동
대표
꼬막비빔밥
12,000원
꽃게살비빔밥
12,000원
꽃게뚝배기
변동
회무침(소면)
39,000원
해산물모듬
메뉴판(원산지) 이미지로 보기
더보기",http://yeonansikdang.co.kr/,,,,,"주차, 포장, 무선 인터넷, 남/녀 화장실 구분","바닷가 옆 길 여느 식당에서 맛 보았던 신선한 해산물 요리들.
그렇게 신선했던 해산물 요리들이 생각난다면,
주저하지 말고 연안식당을 찾아주십시요.

바다가 키워낸 그대로 다양한 해산물 요리들을 전하겠습니다.
가장 빠르게 연안의 요리들을 만나는 방법, 연안식당입니다!",height: 25%;,height: 71.053%;,height: 86.8425%;,height: 94.688%;,height: 77.4065%;,height: 72.496%;,50%,50%
바게트케이베이커리,베이커리,1761,MBC파워매거진,02-567-9501,"서울 강남구 테헤란로34길 21-10
지번역삼동 723-30지도보기","5,500원
말제르브바게트
4,500원
몽쥐 바게트
4,000원
올리브치아바타
4,000원
바나나푸딩
4,000원
카눌레
더보기",https://www.instagram.com/baguette_k/,,,,,,아침에 따뜻한 바게트와 버터 한조각이 행복을 주는 곳,height: 39.001%;,height: 85.644%;,height: 89.1615%;,height: 94.2185%;,height: 68.5135%;,height: 65.5475%;,55%,45%
현대기사식당기사식당,기사식당,157,전지적참견시점,02-3453-6532,"서울 강남구 논현로85길 5-4
지번역삼동 738-5지도보기","7,000원
북어찜
6,000원
멸치청국장",,,,,,,,height: 22.2222%;,height: 69.424%;,height: 82.2333%;,height: 90.1307%;,height: 77.0911%;,height: 68.8444%;,51%,49%
동경전통육개장한식,한식,142,2TV생생정보,02-566-9779,"서울 강남구 테헤란로13길 8-3
지번역삼동 647-7 1층지도보기","8,000원
전통육개장
8,000원
칼국수육개장
8,000원
사골갈비탕
7,000원
사골곰탕
6,000원
사골우거지탕
더보기",,,,,,,,height: 30.8227%;,height: 65.364%;,height: 84.2378%;,height: 92.352%;,height: 66.7907%;,height: 68.6084%;,46%,54%
교센,,2957,,02-501-2334,"서울 강남구 테헤란로16길 9
지번역삼동 735-29 1층지도보기","45,000원
숙성회 코스 1인
18,000원
간장새우
20,000원
스시
20,000원
새우튀김
25,000원
모듬후라이
메뉴판(원산지) 이미지로 보기",,,,,,"단체석, 주차, 포장, 예약, 무선 인터넷","숙성회 코스(무한리필)
1인 45,000원
모둠초밥 20,000원
간장새우 18,000원",height: 25%;,height: 76.9245%;,height: 90.7995%;,height: 96.4755%;,height: 58.661%;,height: 53.396%;,42%,58%
